,Code,Description,Code System,Code System Version,Code System OID,TTY
0,1000048,doxepin hydrochloride 10 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
1,1000054,doxepin hydrochloride 10 MG/ML Oral Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
2,1000058,doxepin hydrochloride 100 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
3,1000064,doxepin hydrochloride 150 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
4,1000070,doxepin hydrochloride 25 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
5,1000076,doxepin hydrochloride 50 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
6,1000091,doxepin hydrochloride 50 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
7,1000097,doxepin hydrochloride 75 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
8,1000495,resveratrol 250 MG Oral Capsule,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
9,1001437,caffeine 50 MG / magnesium salicylate 162.5 MG Oral Tablet,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
10,1006079,benzocaine 0.2 MG/MG / menthol 0.02 MG/MG Oral Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
11,1006096,allantoin 0.01 MG/MG / benzocaine 0.2 MG/MG / camphor 0.03 MG/MG / petrolatum 0.649 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
12,1009416,lidocaine hydrochloride 0.025 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
13,1009433,lidocaine hydrochloride 0.025 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
14,1009462,lidocaine hydrochloride 0.035 MG/MG Ophthalmic Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
15,1010033,lidocaine hydrochloride 10 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
16,1010053,lidocaine hydrochloride 100 MG/ML Mucosal Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
17,1010057,lidocaine hydrochloride 0.05 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
18,1010077,lidocaine hydrochloride 0.04 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
19,1010296,lidocaine hydrochloride 0.05 MG/MG Topical Ointment,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
20,1010671,lidocaine hydrochloride 20 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
21,1010688,20 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 20 MG/ML Injection,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
22,1010694,lidocaine hydrochloride 1 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
23,1010739,lidocaine hydrochloride 20 MG/ML Mucous Membrane Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
24,1010745,epinephrine 0.005 MG/ML / lidocaine hydrochloride 5 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
25,1010751,epinephrine 0.01 MG/ML / lidocaine hydrochloride 10 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
26,1010759,epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
27,1010769,lidocaine hydrochloride 20 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
28,1010774,lidocaine hydrochloride 20 MG/ML Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
29,1010823,menthol 0.075 MG/MG Medicated Patch,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
30,1010835,lidocaine hydrochloride 30 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
31,1010836,lidocaine hydrochloride 30 MG/ML Topical Lotion,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
32,1010844,5 ML lidocaine hydrochloride 40 MG/ML Injection,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
33,1010878,lidocaine hydrochloride 40 MG/ML Mucous Membrane Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
34,1010895,lidocaine hydrochloride 40 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
35,1010900,lidocaine hydrochloride 5 MG/ML Injectable Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
36,1010925,lidocaine hydrochloride 5 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
37,1010931,lidocaine hydrochloride 5 MG/ML Topical Spray,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
38,1011093,2 ML lidocaine hydrochloride 50 MG/ML Injection,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
39,1011326,lidocaine hydrochloride 10 MG/ML Topical Cream,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
40,1011707,lidocaine hydrochloride 0.5 MG Jet Injector,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
41,1011839,benzalkonium chloride 1.3 MG/ML / lidocaine hydrochloride 25 MG/ML Topical Solution,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
42,1011843,benzethonium chloride 0.002 MG/MG / lidocaine hydrochloride 0.025 MG/MG Topical Gel,RXNORM,2021-01,2.16.840.1.113883.6.88,SCD
